input,target
SHE BRING-THERE SUITCASE++ .,She brought many suitcases there.
"PEOPLE THEMSELVES HOME-WITHOUT , YOU SYMPATHY ?",Do you have sympathy for people who are homeless?
TWO-OF-WE GO-AWAY B-E-A-C-H .,The two of us will go to the beach.
SEE THERE WOMAN ?,Do you see that woman there?
FATHER LOVE CHILD .,The father loves the child.
"YES , I-TELL-HE MYSELF .","Yes, I'll tell him myself."
WEATHER TODAY WHAT? RAINY .,Today the weather is rainy.
"SATURDAY NIGHT , YOU HAVE PLAN ?",Do you have plans for Saturday night?
I LIVE N-J .,I live in New Jersey.
"BALL , THROW , HOW FAR CAN YOU  ?",How far can you throw the ball?
SALAD TOSS DON'T-MIND YOU ?,Would you please toss the salad?
"CHILD , FATHER LOVE .",The father loves the child.
IT MOVIE DOWNTOWN HAVE OPEN CAPTION .,This theater downtown has open captioning.
SEE T-V N-E-W-S RECENT .,I just saw the news on TV.
MEDICINE PILL FINISH FEEL BETTER I .,I felt better after I took the medicine.
HAIR VERY-DARK IT .,That's very dark hair.
"I MEET YOUR BROTHER THREE-WEEK-AGO . NICE , FRIENDLY .",I met your brother three weeks ago. He's nice and friendly.
TODAY WEATHER WARM .,The weather is warm today.
EGG FLIP-OVER EASY .,Eggs over easy.
"MOVIE STAR , WHO YOUR FAVORITE ?",Who is your favorite movie star?
HEIGHT YOUR WHAT ?,How tall are you?
"CEREAL , YOU LIKE WHAT-KIND ?",What kind of cereal do you like?
"M-A-R-Y PICTURE , I HAVE MANY .",I have many pictures of Mary.
MUST YOU CAREFUL .,You have to be careful.
B-E-C-K-Y YOU NAME WRITE-ON .,"Becky, write your name."
"SUPPOSE YOU FREEWAY , CAR BREAK-DOWN , DO-DO YOU ?",What would you do if your car broke down on the freeway?
I OLD-TWENTY-NINE .,I am twenty-nine years old.
I LIKE BABIES .,I like babies.
RESTROOM WHERE ?,Where is the restroom?
I WANT I-SHOW-YOU-TWO .,I want to show both of you.
WEDNESDAY COLORADO SUN THIRTY-THREE DEGREES .,Wednesday in Colorado it will be thirty-three degrees and sunny.
YOU LUCKY .,You're lucky.
HEAR LOSE HOW ?,How did you lose your hearing?
SPORTS I DON'T-LIKE .,I don't like sports.
I KNOW ASL ? YES .,I know ASL.
"WAIT , SCREEN-ON , READY .","Wait until the screen comes on, then it's ready."
"YESTERDAY , SCHOOL FINISH AFTER YOU WHAT-DO ?",What did you do after school yesterday?
"AWKWARD , L-E-E HER .","Awkward, that's lee."
H-D T-V HAVE SHE .,She has a high-definition TV.
FINISH H-S ARMED FORCES JOIN MY SON PLANS .,My son plans to join the armed forces after high school.
YOU LIKE HOT DOG HAMBURGER WHICH ?,Which do you like hot dogs or hamburgers?
S-F YOU VISIT MUST YOU .,You must visit San Francisco.
"YOU MORE ASL LEARN , READY YOU ?",Are you ready to learn more ASL?
TYPHOON H-U-R-R-I-C-A-N-E DIFFERENCE WHAT ?,What is the difference between a typhoon and a hurricane?
BASKETBALL TEAM COACH ENCOURAGED I JOIN .,The coach encouraged me to join the basketball team.
"WINTER , I COLD-REPEATEDLY .","In the winter, I'm cold all the time."
RECENT WOMAN-GIVE-TO-I FIVE-DOLLARS .,"Recently, the woman gave me five dollars."
"STORY C-I-N-D-E-R-E-L-L-A , MY FAVORITE .",Cinderella is my favorite story.
MY FAMILY HAVE TWO HOUSE .,My family has two houses.
I LOSE BOOK I .,I lost the book.
"I INEPT SIGN+AM , I SIGN PRACTICE .","If I were an inept signer, I would practice my signing."
YOU LEARN ASL HOW-LONG ?,How long have you been studying ASL?
THAT BAG NO I NOT BUY COST AN ARM AND A LEG .,There is no way I'm buying that bag. It costs an arm and a leg!
TELEPHONE NUMBER WOMAN SHE-GIVE-I SHOULD SHE .,The woman should give me the telephone number.
I FIND FIFTY-CENT YESTERDAY I .,I found fifty cents yesterday.
I-MEET-YOU WHEN? NEXT-WEEK THURSDAY .,I will meet you next week on Thursday.
HOW SIGN S-C-I-E-N-T-I-S-T ?,What is the sign for scientist?
HE HEAR .,He is hearing.
APPLE YOU WANT YOU ?,Do you want an apple?
LETTER YOU-HELP-I WRITE WILL YOU .,You will help me write the letter.
HOUSE IT NOT EXPENSIVE IT .,The house is not expensive.
FINE . EASY .,Fine. Something easy.
I BRING AIRPLANE .,I'll take you to the airport.
BOOK I READ FINISH I .,I've read the book.
"IF READ CHAPTER SUMMARY , YOU UNDERSTAND MY LECTURE WILL .","If you read the chapter summary, you will understand my lecture."
NINE PANTS I HAVE .,I have nine pants.
DENTIST DOCTOR MUST I .,I need a dentist or doctor.
TOMORROW PRESIDENT MAYBE APPEAR .,The president may show up tomorrow.
"CEREAL , YOU LIKE WHAT-KIND ?",What type of cereal do you like?
HORSE ESCAPE HOW ?,How did the horse escape?
"YOUR LIVE , YOU MOVE HOW-MANY ?",How many times have you moved where you live?
CABINET HAVE NONE FOOD .,There is no food in the cabinet.
"SUPPOSE YOU GO CHURCH , PANTS OR DRESS YOU WHICH ?","If you go to church, do you wear pants or do you wear a dress?"
"ONE DAY , DAUGHTER NOTHING DO , DECIDE WALK WOODS .","One day, the daughter had nothing to do, so she decided to take a walk in the woods."
"IF I HEAR NONE , I PROCEED WILL I .","If I don't hear anything, I'll go ahead."
"GOOD-ENOUGH , NOT ACCEPT I .",Just good enough is not acceptable to me.
"YOU PAY-ATTENTION YOUR WORK , NEVER . YOU CARELESS-REPEATEDLY , WRONG-REPEATEDLY .",You never pay attention to your work. You're always careless and always wrong.
KNOW++ MOVIE S-T-A-R W-A-R-S .,You know the movie Star Wars.
"T-V HAVE ACTOR DEAF IT , I WATCH MUST I .","If there's a television show with a deaf actor, then I have to watch it."
I SAVE GAS .,I save my gas.
SHOULD ARRIVE FIVE-MINUTE .,It should arrive in five minutes.
"PARTY YOU-INVITE-I , I MUST DECLINE .",I can’t make it to your party.
CHICKEN MY GRANDFATHER J-O-H-N LIKE .,My grandfather John likes chicken.
I MUST EAT .,I have to eat.
U-S PRESIDENT INAUGURATION FOR-FOR? RECOGNIZE NEW PRESIDENT .,The United States presidential inauguration is a ceremony to recognize a new president.
YOU WANT I SIGN FAST ?,Do you want me to sign faster?
MAKE FEEL INVOLVED .,It made me feel involved.
TODAY NEW YORK SNOW TWENTY-FIVE DEGREES .,Today in New York will be twenty-five degrees and snowy.
TRAVEL-AROUND ALONE YOU ?,Did you travel alone?
SURFBOARD SKILL HER .,She's an expert surfer.
"YOUR FAMILY , WHO COMPLAIN MOST ?",Who in your family complains the most?
"I WATCH T-V , WRONG CAPTION .",I was watching television when suddently captions appeared .
CIRCLE AND SQUARE SAME ?,Are these shapes the same?
JUNETEENTH WHEN? TUESDAY JUNE NINETEENTH .,"Juneteenth is Tuesday, June nineteenth."
YOU ORDER WHAT ?,What are you going to order?
"HE APPEAR NONE , I WAIT-CONTINUALLY .","He didn't show up, so I waited a long time."
AROUND NINETEEN-NINETY-EIGHT I MOVE-TO NEW YORK .,I moved to New York around 1998.
WHAT MOVIE YOU THINK LOUSY ?,What movie do you think is lousy?
PENCIL DON'T-MIND YOU-LEND-I ?,Can I borrow a pencil?
I SWITCH-OVER SPECIALIZE WELD WHY? SWELL MONEY .,I swithced to welding because it pays better money.
"SCHOOL COMMUNICATION , SPECIALTY-FIELD HOW-MANY ?",How many majors are there in the School of Communication?
"HOTEL SEARCH FIND CAN'T, IMPOSSIBLE  .",I searched all night for a hotel but it was impossible to find one.
THAT WOMAN SHE SHORT RED SCARF HAVE SHE WHO ?,Who is that short woman with the red scarf?
YOU PLAY SPORT ?,Do you play sports?
BIOLOGY MY UNCLE HIS FAVORITE CLASS .,My uncle's favorite class is biology.
FIVE PIGS I HAVE .,I have five pigs.
B-E-T-H HER PANTS GRAY .,Beth's pants are gray.
"I FINISH I-TELL-ALL-OF-YOU , ARRIVE TIME TEN MUST .","I've already told all of you, you must arrive at 10:00."
TODAY EARTHQUAKE WHERE? CALIFORNIA .,There was an earthquake today in California.
"OK , ONE-WEEK P-A-T DRIVE-TO .","Okay, next week Pat's going to drive there."
EVERY SATURDAY WHAT DO YOU ?,What do you do every Saturday?
ALL-NIGHT I ROLL-AROUND .,I tossed and turned all night.
I WATCH MOVIE FINISH I RUN-THERE CAR .,"I watched the movie until it was over, then ran to my car."
"YEAR NINETEEN-THIRTY-TWO , HAPPEN PEOPLE DEAF THREE-HUNDRED MOVE-TO O-H-I-O .","In 1932, three hundred deaf people moved to Ohio."
CALIFORNIA TOUCH WHICH OCEAN ?,Which ocean does California touch?
TIME THREE PM FOOTBALL GAME .,The football game is at 3:00 pm.
"TEST , YOU MISTAKE-REPEATEDLY ?",Did you make alot of mistakes on the test?
"BEFORE , I KID , CHURCH , I UNDERSTAND .","When I was a kid, I didn't understand church."
BATHROOM ?,Where is the bathroom?
"KNOW CHAIR DIFFERENT , L-E-E COLLECT .",You know Lee collects different chairs.
I WILL I .,I will.
SHE TIRED SHE .,She is tired.
YOU-TELL-I TEACH+AM ARRIVE WILL ?,Will you tell me when the teacher arrives?
LIBRARIAN HELP-YOU LOOK-FOR BOOK .,The librarian can help you look for books
TASTE AWFUL .,It tastes awful.
MY FRIEND S-A-M-M-Y LIKES MOTORCYCLES .,"My friend, Sammy, likes motorcycles."
THANK YOU FOR YOUR SERVICE .,Thank you for your service.
YOU LIVE WHAT CITY ?,In what city do you live?
IT KITCHEN HAVE TABLE .,There's a table in that kitchen.
I HATE WRITE .,I hate to write.
LEAVE G-E-O-R-G-E .,George left.
I FEEL OK .,I feel OK.
YOU SNOW-BOARD BEFORE YOU ?,Have you been snow boarding before?
I SO-SO . HOW YOU ?,I am so-so. How are you?
I LIVE WASHINGTON D-C .,"I live in Washington, D.C."
"MY CAR , MUST PUT-GAS-IN-REPEATEDLY .",I have to repeatedly put gas in my car.
ONE-MINUTE HAVE HOW-MANY S-E-C ?,How many seconds are in a minute?
"YESTERDAY , CAR BREAK-DOWN WHY? CARBURETOR NO-GOOD .","Yesterday, my car broke down because the carburetor's no good."
I TEACH+AM I .,I am a teacher.
"MAN BLUE SHIRT THERE , HE SMART HE .","That man in the blue shirt, he's smart."
"A-N-A , JOHN NOT LOVE .","Ana, John does not love."
ELEPHANTS I LOVE .,I love elephants.
I WANT SEE MOVIE .,I'd like to see the movie.
IF RESTAURANT JOB SKILLS LIST NEED WHAT ?,What are the skills needed to work in a restaurant?
SEPT FIFTEEN YEAR NINETEEN-EIGHTY-FIVE TIME TEN PM I BORN .,"I was born September 15, 1985 at 10 PM."
SIX MICE I HAVE .,I have six mice.
I-SEND-YOU LETTER MYSELF .,I'm sending you the letter myself.
THEY PROTEST AGAINST C-O .,They are on strike against the company.
"ORDER THREE HAMBURGER , FOUR FRENCH-FRIES , PLEASE .","Order 3 hamburgers and 4 french-fries, please."
I NEED PRACTICE NEW SIGN .,I need to practice the new signs.
YOURSELF CARRY-THERE FURNITURE ?,Did you move the furniture yourself?
THEMSELVES HAVE IDEA MANY .,They have many ideas.
PING PONG MY BEST FRIEND BEAT-I  .,My best friend beat me in ping pong.
"SUPPOSE GAMES BORING , DO-WHAT YOU ?",What do you do if the games are boring?
I HURRY GET .,I can't wait to get mine.
I SIT LOOK-AT .,I sit there and watch.
I LEARN SIGN .,I'm learning sign language.
YOU UNDERSTAND SHE ?,Do you understand her?
I-P R-E-L-A-Y ON COMPUTER I USE SOMETIMES .,Sometimes I use the IP relay on my computer.
"GO-AWAY TOMORROW , NOT I .",I'm not leaving tomorrow.
I HAVE ANOTHER QUESTION FOR YOU .,I want to ask you another question.
MARTIN BELSKY HIMSELF DEAF FROM MICHIGAN MANY YEARS INVOLVED LEADER DEAF S-P-O-R-T-S LOCAL AND NATIONAL LEVEL .,Martin Belsky was a deaf man from Michigan who was a leader of deaf sports at the local and national level.
YOU LIVE OVER RIVER YOU ?,Do you live on the other side of the river?
PLAYGROUND TURN-RIGHT MOVIE THEATER TURN-LEFT .,Turn right by the playground and left after the movie theater.
WILL INFORM-ALL-OF-YOU ABOUT MEETING WHEN? DON'T-KNOW I .,I don't know when I will inform you of the meeting.
M-A-X MAJOR WHAT? INTERPRETING .,Max's major is interpreting.
SHE LIKE HE .,She likes him.
PROJECT FINISH ABOUT TIME !,It's about time I finished this project!
YOU DRIVE-TO CHURCH ?,Do you drive to church?
BASEBALL GAME HERE .,The baseball game is here.
"I HIT BOY , NOTHING I !",I didn't hit the boy!
YOU USE DEODORANT YOU ?,Do you use deodorant?
AFTER-AWHILE YOU AGAIN YOU-ASK-I .,You ask me again after awhile.
MAN HE PRACTICE SIGN HE .,The man practices signs.
PAST CAR BREAKDOWN EXPERIENCE FINISH YOU ?,Have you exprienced a car break down before?
"YES , HE BUILD HIMSELF .","Yes, he built it himself."
I WANT LARGE ICE TEA .,I want a large ice tea.
I SHY .,I'm shy.
"YES , I MAYBE I .","Yes, I may."
I FEEL STRANGE LIKE SOMETHING MISSING .,I feel strange as if something is missing.
WILL I GO-THERE MOUNTAIN WALK THROUGH .,I'm going to the mountains and walking through the trees.
"I YESTERDAY , STAY HOME .",I stayed home yesterday.
YOU REMEMBER PRINCIPAL NAME ?,Do you remember your principal's name?
FROM-THEN-ON O-K .,"From then on, it was okay."
"B-U-S , VERY-DIRTY , NOT COMFORTABLE .",The bus was very dirty and not comfortable.
L-E-E COME .,Lee's going to come.
"RESEARCH PAPER , YOU ENJOY WRITE ?",Do you enjoy writing research papers?
TONIGHT YOU GO WHERE ?,Where are you going tonight?
YOU-TELL-I FINISH YOU-CHOOSE-HE FOR COMMITTEE .,You already told me that you picked him for the committee.
MY AUNT DEAF .,My aunt is deaf.
TIME TEN UNTIL NINE .,It is ten till nine.
WHERE PAPER ?,Where is the paper?
"SUPPOSE YOUR MOM PRISON , YOU SHOCKED ?",Would you be shocked if your mom went to prison?
LEFT LEFT-TURN STOP .,Make a left turn and stop.
JOB SKILLS YOU HAVE WHAT ?,What job skills do you possess?
SINCE SHE SICK-CONTINUALLY .,Since then she's been sick continually.
MEAN WHAT ?,What does it mean?
YOU TIRED .,You are tired.
TOMORROW YOU GO SCHOOL ?,Are you going to school tomorrow?
DON'T-MIND YOU GO-THERE ?,Do you mind going?
I SEE PAPER PICK UP LOOK-AT FIND IT TWENTY-DOLLAR BILL .,"I saw a piece of paper on the ground, picked it up, and looked at it. I discovered it was a twenty dollar bill."
BEFORE I LIVE F-L-A I HOT-REPEATEDLY . CAN'T BEAR .,Before I lived in Florida. I was hot all the time. I couldn't bear it.
NAME YOUR ?,What is your name?
HOW SIGN A-C-T-O-R ?,How do you sign actor?
MUSIC MY SON HIS FAVORITE CLASS .,My son's favorite class is music.
"YOU LOSE , I HAPPY STILL .","If you lose, I will still be happy."
THEY LEARN SIGN ?,Are they learning sign language?
WHERE YOUR CAR ?,Where is your car?
"FUTURE I WANT HOUSE WITH LEVELS THREE , BEDROOM FIVE , ELEVATOR .","In the future, I want a three story house with five bedrooms and an elevator."
YOU EAT YOU ?,Are you eating?
YOU SEE FINISH YOU ?,Have you seen it?
I THINK HAVE LEFT FOOD SOME .,I think there's some food left.
I-SHOW-YOU .,I will show you.
I LIKE DRINK .,I like to drink.
I FEEL DEPRESSED .,I am feeling dperessed.
WRITE LOSE .,I lost my pencil.
TOOTHBRUSH MY WHERE ?,Where is my toothbrush?
DUCK CAN SWIM ?,Can ducks swim?
NOT-YET FIRST NEED WHAT? EAT  .,No/ not yet I need to eat first.
MAKE MOVIE WHAT-FOR ?,Why was the movie made?
WHO YOUR TEACH+AM WHO ?,Who is your teacher?
COOK DINNER FOR YOU I WANT .,I want to cook a dinner for you.
"YOUR REFRIGERATOR , WHAT COLOR ?",What color is your fridge?
C-O-R-N PLANT CL-B:FIELDS-AND-FIELDS .,There are corn fields as far as the eye can see.
CALL MAN UP THERE TWELFTH IN LINE .,Call the man up there the twelfth one in line.
YOU FROM HERE ?,Are you from here?
CARPENTRY SKILL YOU ?,What is your skill in carpentry?
FRIEND WILL HE-MEET-I TIME SEVEN .,My friend will meet me at seven o'clock.
"MY BROTHER , HE LIKE CAR .",My brother likes cars.
NOW MORNING EAT WHAT ?,What did you have for breakfast?
I GET-UP TIME SIX CAN'T I .,I can't get up at six.
HE FRIENDLY .,He is friendly.
NEXT-WEEK I SEE .,"Next week, I will see."
IT SMELL GOOD NOT IT .,It doesn't smell good.
YOUR ASL CLASS START WHEN ?,When does your ASL class start?
I PLENTY WORK LEFT .,I have a lot of work left.
JAPAN ARMY PLAN EARTHQUAKE PRACTICE WHERE? ASIA .,The Japanese army is planning an earthquake drill in Asia.
IT HOME HAVE TEAM .,There's tea at home.
"TWO-WE WATCH PERFORMANCE FINISH , GO-THERE FRIEND HOUSE PARTY , CHAT FRIEND FINISH , COME-HERE HOME .","We can watch the play then go to a friend's house for a party, talk with some friends, then come on home."
"C-A-R-O-L RAISED SPEAK ENGLISH , SPANISH , BOTH .",Carol was raised speaking English and Spanish.
"TEACH+AM SHOW-UP , FINALLY !",The teacher has finally shown up!
I FINISH SEE MOVIE .,I have seen the movie.
I WANT CHILDREN MANY I .,I want a lot of children.
PIZZA OR HAMBURGER YOU FAVORITE WHICH ?,"Which would you rather have, pizza or a hamburger?"
LIVE WHERE ?,Where do you live?
"YES , IT COLD IT .","Yes, it is."
I DON'T KNOW .,I don't know.
CHRISTMAS E-V-E MOVIE QUOTE E-L-F WATCH I LIKE .,"I like to watch the movie ""Elf"" on Christmas Eve."
YOU NOT LOVE I ?,Don't you love me?
SCIENCE MY GRANDMOTHER HER FAVORITE CLASS .,My grandmother's favorite class is science.
USE OUR NAME ?,Will you use our names?
YOU SCHOOL WHICH DAY ?,Which days are you in school?
SNOW MELT FINISH ?,Has the snow melted?
MAN ESCAPE WHICH ?,Which man escaped?
TIME SIX-THIRTY` AM WEIGHT LIFTING CLASS .,The weight lifting class is at 6:30 am.
"NO . MY CLASS , HISTORY .",No. My class is history.
A-L-B-E-R-T FINISH BECOME DOCTOR WHEN ?,When did Albert become a doctor?
H-O-W-I-E S-E-A-G-O HIMSELF DEAF ACTOR DIRECTOR . HE FAMOUS MANY ROLES INCLUDING TV PROGRAM S-T-A-R T-R-E-K .,Howie Seago is an deaf actor and director. He is famous for many roles including acting on Star Trek.
YESTERDAY I BIOLOGY STUDY FINISH .,I finished studying biology yesterday.
WANT MORE CHILDREN YOU ?,Do you want more children?
BLOW-NOSE I .,I have a cold.
MY FAVORITE BOOK WHAT? QUOTE T-H-E LITTLE BLUE T-R-U-C-K QUOTE .,My favorite book is The Little Blue Truck.
"I-LOAN-YOU ONE-HUNDRED-AND-FIFTY-DOLLAR; FINISH , YOU WANT BUY PANTS .",I loaned you one-hundred-and-fifty dollars; then you wanted to buy a pair of pants. 
HOME HAVE TABLE OUTLINE-KIDNEY-SHAPED .,I have a table at home that is kidney-shaped.
MY NEIGHBOR LAZY WHY? MOW LAWN NEVER .,"My neighbor is lazy, he never mows the lawn."
I STAY-CONTINUALLY TWO-HOUR .,I stay for two hours. 
I LIKE SUMMER BEST .,I like summer best.
AIRPLANE CANCEL .,The flight has been canceled.
YOUR PARENTS LIKE DOG ?,Do your parents like dogs?
YOU LOOK LIKE YOUR DAD ?,Do you look like your dad?
DO EVERY DAY ?,What do you do everyday?
M-A-R-K TAKE-TURN .,"Mark, it's our turn."
"YESTERDAY J-O-H-N , HE-TELL-I J-O-K-E . I LAUGH-CONTINUALLY .",Yesterday John told me a joke. I laughed and laughed and laughed.
BUSINESS MY OWN START I .,I started my own business.
MY FAVORITE TIME SWIM WHEN ? EIGHT MORNING .,My favorite time to swim is eight in the morning.
HER FRIEND K-A-T-H-Y PRETTY .,"Her friend, Kathy, is pretty."
YOU SEE I .,You see me.
PARTY THERE MY HOME IN-THREE-MONTH .,There'll be a party at my home in three months.
SILLY FINISH .,Stop fooling around.
TIME ELEVEN-THIRTY AM HOCKEY GAME .,The hockey game is at 11:30 am.
YOU HAVE SCARF ?,Do you have a scarf?
HOW YOU ?,How have you been doing?
YOUR FATHER FACE NICE .,Your father is nice looking.
EVERY SUMMER CAMP COUNSELOR I WORK .,I work as a camp counselor every summer.
WE MUST PAY-HE THIRTY-CENT .,We have to pay him thirty cents.
I LOVE MY BABY .,I love my baby.
YOU THINK TATTLE GOOD OR BAD ?,Do you think tattling is good or bad?
HE HEAR HE ?,Is he hearing?
YOU THINK FIREFIGHTER BRAVE ?,Do you think firefighters are brave?
"BEFORE FALL I PLAN TAKE-UP SCIENCE CLASS , FRUSTRATE CANCEL .","Last fall I planned to take a science class, but it was cancelled."
"CAR , MY FAMILY NEED .",My family needs a car.
"SMALL CITY , YOU LIKE ?",Do you like small cities?
LAST-WEEK I WORK . NOW WEEK I VACATION .,"Last week, I worked. This week, I am on vacation."
"CHINA , V-E-G , PEOPLE PREFER BROCCOLI .","In China, as far as vegetables are concerned, people prefer broccoli."
TWO YEARS AGO GALLAUDET UNIVERSITY I VISIT .,I visited Gallaudet University two years ago.
YOUR DOG CUTE !,Your dog is cute!
WASHINGTON D-C THEREABOUTS P-A-T WE-TWO TOUR SIGHTSEE .,"Pat and I went touring and sightseeing around the Washington, D.C. area."
GOOD IDEA YOU .,That was a good idea.
WHAT TOPIC YOU INTERESTED ?,What topic are you interested in?
